"","PID","Stage","OwnPhone","Phone.OS","Usage.Hours","Usage.Minutes","Cat1.Name","Cat1.Hours","Cat1.Minutes","Cat2.Name","Cat2.Hours","Cat2.Minutes","Cat3.Name","Cat3.Hours","Cat3.Minutes","Cat4.Name","Cat4.Hours","Cat4.Minutes","Cat5.Name","Cat5.Hours","Cat5.Minutes","AvgPickups","AvgNotifs","Usage.DailyHourlyAverage","Cat1.DailyHourlyAverage","Cat2.DailyHourlyAverage","Cat3.DailyHourlyAverage","Cat4.DailyHourlyAverage","Cat5.DailyHourlyAverage"
"1","A-019","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",6,21,"Social",14,44,"Entertainment",10,16,"Other",1,22,"Utilities",0,38,"Productivity & Finance",0,21,182,428,6.35,2.1047619047619,1.46666666666667,0.195238095238095,0.0904761904761905,0.05
"2","A-019","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",6,21,"Social",14,44,"Entertainment",10,16,"Other",1,22,"Utilities",0,38,"Productivity & Finance",0,21,182,428,6.35,2.1047619047619,1.46666666666667,0.195238095238095,0.0904761904761905,0.05
"3","A-019","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",6,21,"Social",14,44,"Entertainment",10,16,"Other",1,22,"Utilities",0,38,"Productivity & Finance",0,21,182,428,6.35,2.1047619047619,1.46666666666667,0.195238095238095,0.0904761904761905,0.05
"4","A-019","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",6,21,"Social",14,44,"Entertainment",10,16,"Other",1,22,"Utilities",0,38,"Productivity & Finance",0,21,182,428,6.35,2.1047619047619,1.46666666666667,0.195238095238095,0.0904761904761905,0.05
"5","A-019","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",6,21,"Social",14,44,"Entertainment",10,16,"Other",1,22,"Utilities",0,38,"Productivity & Finance",0,21,182,428,6.35,2.1047619047619,1.46666666666667,0.195238095238095,0.0904761904761905,0.05
"6","A-012","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",5,2,"Social",2,24,"Shopping & Food",N/A,16,"Information & Reading",N/A,4,"Entertainment",N/A,1,"Productivity & Finance",N/A,33,148,271,5.03333333333333,0.342857142857143,N/A,N/A,N/A,N/A
"7","A-012","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",5,2,"Social",2,24,"Shopping & Food",N/A,16,"Information & Reading",N/A,4,"Entertainment",N/A,1,"Productivity & Finance",N/A,33,148,271,5.03333333333333,0.342857142857143,N/A,N/A,N/A,N/A
"8","A-012","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",5,2,"Social",2,24,"Shopping & Food",N/A,16,"Information & Reading",N/A,4,"Entertainment",N/A,1,"Productivity & Finance",N/A,33,148,271,5.03333333333333,0.342857142857143,N/A,N/A,N/A,N/A
"9","A-012","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",5,2,"Social",2,24,"Shopping & Food",N/A,16,"Information & Reading",N/A,4,"Entertainment",N/A,1,"Productivity & Finance",N/A,33,148,271,5.03333333333333,0.342857142857143,N/A,N/A,N/A,N/A
"10","A-016","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",8,55,"Social",23,26,"Swipe Brick Breaker",11,10,"Hulu",10,52,"Google Maps",4,16,"Safari",2,41,108,78,8.91666666666667,3.34761904761905,1.5952380952381,1.55238095238095,0.60952380952381,0.383333333333333
"11","A-016","One Week Post-Exposure","Yes, I have a smartphone with me.","iPhone",8,55,"Social",23,26,"Swipe Brick Breaker",11,10,"Hulu",10,52,"Google Maps",4,16,"Safari",2,41,108,78,8.91666666666667,3.34761904761905,1.5952380952381,1.55238095238095,0.60952380952381,0.383333333333333
